id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,price,sold_count,platform,browser,customer_name,date_added
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,4118,160,Desktop,Chrome,David Weber,2011-10-12
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,2465,297,Desktop,Edge,Timothy Johnson,2012-07-24
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,16185,30,Android,Safari,Melissa Chan,2016-01-16
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,12524,71,Desktop,Chrome,Samuel Rogers,2011-11-11
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,4114,122,Android,Safari,Alfred Cardenas,2012-08-20
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,1267,661,Android,Safari,Jeffrey Chavez,2011-07-23
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,2457,364,iOS,Firefox,Joseph Kemp,2012-08-22
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,3313,130,Desktop,Chrome,Casey Waters,2012-07-19
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,13202,65,Desktop,Chrome,Brandon King,2012-06-15
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,7121,15,Mobile,Chrome,Jim Stokes,2015-12-20
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,10924,19,iOS,Chrome,James Pope,2011-07-16
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,13121,12,Desktop,Chrome,Tiffany Pruitt,2012-07-27
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,12713,75,Desktop,Safari,Stephen Reyes,2011-11-28
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,14330,8,Desktop,Chrome,Shannon Peters,2012-07-18
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,2004,411,Mobile,Chrome,Lindsay Payne,2012-09-08
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,3496,223,Android,Safari,Adam Johnson,2011-10-13
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,17123,7,Desktop,Firefox,Troy Lambert,2016-01-22
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,12805,36,Mobile,Chrome,Robin Stephenson,2012-08-21
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,7581,69,iOS,Chrome,April Davis,2016-08-17
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,9648,18,Desktop,Opera,Patricia Alexander,2012-06-24
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,15795,36,Desktop,Safari,Mark Oconnor,2015-12-28
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,1838,155,iOS,Opera,Christopher King,2011-10-06
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,9239,88,Desktop,Edge,Heather Webb,2011-06-07
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,14750,45,Android,Safari,Frank Dominguez,2011-09-04
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,3138,31,iOS,Chrome,Michael Soto,2017-05-13
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,4207,184,Desktop,Chrome,Kevin James,2010-12-23
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,1467,149,Desktop,Chrome,Christina Mcdaniel,2012-02-26
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,13619,54,iOS,Chrome,Jose Burgess,2011-11-05
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,7018,34,Desktop,Yandex Browser,Cassidy Robertson,2017-04-28
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,1300,89,Desktop,Safari,Kara Smith,2015-01-07
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,2054,262,Desktop,Chrome,Donald Hensley,2012-08-22
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,13532,49,Desktop,Safari,Ashley Johnson,2011-08-14
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,3134,171,iOS,Firefox,Timothy Green,2012-08-09
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,9024,42,Android,Chrome,Michael Khan,2013-12-20
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,5529,25,Desktop,Chrome,Nancy Johnson,2011-12-27
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,1499,304,Desktop,Yandex Browser,Hannah Wong,2011-09-07
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,13222,11,Desktop,Chrome,Jessica Meyer,2012-06-17
